epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3251,0.37396,1.86033,0.92978,0.09736,0.92946,0.10867,0.10603,0.49309,inf,1.10599,0.00331313,0.00331313,0.00331313
2,51.3323,0.37825,1.8292,0.92312,0.05742,0.90523,0.06658,0.06468,0.51818,inf,1.11578,0.00658066,0.00658066,0.00658066
3,76.2863,0.43076,1.84041,0.92811,0.04128,0.90016,0.05891,0.05745,0.64693,inf,1.13596,0.0097822,0.0097822,0.0097822
4,101.545,0.46676,1.85381,0.93222,0.07705,0.85033,0.08353,0.08165,0.5513,inf,1.13637,0.009703,0.009703,0.009703
5,126.546,0.46081,1.81643,0.93003,0.05584,0.84491,0.09533,0.09412,0.52651,inf,1.13143,0.009604,0.009604,0.009604
6,151.943,0.44732,1.7906,0.93103,0.09187,0.84999,0.0981,0.09383,0.60504,inf,1.13671,0.009505,0.009505,0.009505
7,177.172,0.43786,1.76673,0.92911,0.07477,0.80945,0.08881,0.0833,0.49889,inf,1.11106,0.009406,0.009406,0.009406
8,202.068,0.43177,1.74408,0.92778,0.10237,0.82036,0.11409,0.11061,0.45177,inf,1.12166,0.009307,0.009307,0.009307
9,227.778,0.41938,1.71035,0.92694,0.05361,0.72912,0.06177,0.05854,0.66144,inf,1.16062,0.009208,0.009208,0.009208
10,252.945,0.41825,1.68849,0.92672,0.08717,0.59461,0.09637,0.09092,0.50599,inf,1.10793,0.009109,0.009109,0.009109
11,277.962,0.4092,1.67358,0.9248,0.23677,0.7034,0.24196,0.2377,0.42864,11.6644,1.10107,0.00901,0.00901,0.00901
12,303.496,0.40127,1.65087,0.92474,0.25928,0.54502,0.26322,0.2564,0.43484,6.56214,1.09157,0.008911,0.008911,0.008911
13,328.786,0.39474,1.63566,0.92393,0.3048,0.52633,0.3276,0.31313,0.46304,5.74806,1.10329,0.008812,0.008812,0.008812
14,354.049,0.39311,1.61762,0.92181,0.42735,0.44294,0.42567,0.39567,0.51849,5.33973,1.10683,0.008713,0.008713,0.008713
15,378.953,0.38666,1.60776,0.92204,0.1642,0.41172,0.18279,0.16833,0.54775,7.08881,1.11881,0.008614,0.008614,0.008614
16,404.669,0.38302,1.593,0.92303,0.52745,0.64773,0.57886,0.54237,0.42696,4.90837,1.08896,0.008515,0.008515,0.008515
17,430.591,0.37751,1.57604,0.92109,0.56558,0.61884,0.61841,0.5868,0.49957,4.62001,1.09699,0.008416,0.008416,0.008416
18,455.925,0.37284,1.56904,0.91965,0.60268,0.59101,0.61207,0.58196,0.4036,4.46878,1.08567,0.008317,0.008317,0.008317
19,481.721,0.36698,1.55563,0.91961,0.67164,0.65152,0.72243,0.69689,0.43775,4.90107,1.09019,0.008218,0.008218,0.008218
20,507.178,0.36572,1.54387,0.92028,0.45387,0.65497,0.50806,0.47834,0.50213,5.46486,1.09689,0.008119,0.008119,0.008119
21,532.482,0.36383,1.53274,0.91936,0.65485,0.64788,0.6989,0.65546,0.53452,5.01893,1.09636,0.00802,0.00802,0.00802
