epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,339.178,0.79028,0.50087,0.98604,0.97507,0.95977,0.98899,0.8065,0.77172,0.39517,0.97133,0.0011882,0.0011882,0.0011882
43,347.306,0.79369,0.49972,0.99229,0.96418,0.96524,0.98999,0.81912,0.74404,0.39586,0.96951,0.0011684,0.0011684,0.0011684
44,355.446,0.7872,0.49323,0.97738,0.98104,0.96217,0.99203,0.81889,0.74686,0.37792,0.96325,0.0011486,0.0011486,0.0011486
45,363.667,0.79847,0.51092,0.98414,0.96781,0.95308,0.98886,0.81073,0.75735,0.39625,0.96599,0.0011288,0.0011288,0.0011288
46,371.761,0.77695,0.48572,0.98376,0.97556,0.93884,0.9839,0.81058,0.77348,0.42277,0.97786,0.001109,0.001109,0.001109
47,379.858,0.77371,0.48097,0.97778,0.97341,0.97314,0.9915,0.81003,0.75474,0.37439,0.96136,0.0010892,0.0010892,0.0010892
48,387.975,0.77458,0.48734,0.98225,0.98396,0.96115,0.99196,0.81404,0.74717,0.36559,0.96084,0.0010694,0.0010694,0.0010694
49,395.868,0.77679,0.486,0.97953,0.98285,0.94888,0.98843,0.79789,0.78721,0.40668,0.99164,0.0010496,0.0010496,0.0010496
50,403.847,0.77117,0.48316,0.97677,0.98372,0.909,0.98034,0.78672,0.89917,0.45684,1.08475,0.0010298,0.0010298,0.0010298
51,411.907,0.76686,0.47335,0.97305,0.97527,0.96762,0.99183,0.82782,0.72392,0.37493,0.9471,0.00101,0.00101,0.00101
52,420.273,0.76495,0.46421,0.97319,0.96044,0.94581,0.98702,0.80582,0.76132,0.39893,0.96465,0.0009902,0.0009902,0.0009902
53,428.368,0.76411,0.47095,0.97379,0.97725,0.96639,0.9922,0.82111,0.7352,0.36416,0.95391,0.0009704,0.0009704,0.0009704
54,436.381,0.75668,0.48272,0.97617,0.98951,0.96415,0.99242,0.82301,0.71412,0.35452,0.94568,0.0009506,0.0009506,0.0009506
55,444.359,0.76594,0.4725,0.97327,0.9845,0.97433,0.99305,0.82281,0.74154,0.35004,0.95955,0.0009308,0.0009308,0.0009308
56,452.468,0.76314,0.47765,0.97924,0.98022,0.96256,0.99221,0.82211,0.73263,0.36511,0.94802,0.000911,0.000911,0.000911
57,460.417,0.75379,0.45632,0.96989,0.97219,0.97648,0.9932,0.80808,0.78828,0.36502,0.98061,0.0008912,0.0008912,0.0008912
58,468.505,0.76925,0.47877,0.97442,0.9892,0.96319,0.99308,0.82529,0.72168,0.34428,0.93717,0.0008714,0.0008714,0.0008714
59,476.627,0.75792,0.46527,0.96777,0.98468,0.95297,0.99053,0.81297,0.76627,0.36843,0.9676,0.0008516,0.0008516,0.0008516
60,484.739,0.74903,0.45494,0.96584,0.97353,0.97239,0.99241,0.81978,0.72762,0.34723,0.95194,0.0008318,0.0008318,0.0008318
61,492.807,0.75399,0.45124,0.96498,0.98066,0.97035,0.99274,0.81723,0.75201,0.34849,0.96885,0.000812,0.000812,0.000812
62,500.821,0.74613,0.45305,0.97271,0.99085,0.95603,0.99264,0.82961,0.72263,0.34217,0.9384,0.0007922,0.0007922,0.0007922
63,509.036,0.73756,0.44508,0.957,0.98334,0.96585,0.99282,0.8271,0.71394,0.34868,0.93526,0.0007724,0.0007724,0.0007724
64,517.146,0.72947,0.43589,0.95556,0.98341,0.96982,0.99319,0.81902,0.75061,0.36043,0.96561,0.0007526,0.0007526,0.0007526
65,525.208,0.7331,0.4492,0.96452,0.98436,0.96552,0.9923,0.83048,0.70344,0.33563,0.93029,0.0007328,0.0007328,0.0007328
66,533.463,0.729,0.44083,0.95245,0.97747,0.97853,0.99345,0.83376,0.70233,0.32685,0.92995,0.000713,0.000713,0.000713
67,541.682,0.74015,0.4427,0.9536,0.99312,0.96933,0.99369,0.82322,0.72291,0.33342,0.94055,0.0006932,0.0006932,0.0006932
68,549.867,0.73102,0.43098,0.95156,0.98452,0.97568,0.9934,0.81912,0.75299,0.34366,0.96563,0.0006734,0.0006734,0.0006734
69,558.036,0.7363,0.44288,0.96359,0.98737,0.96115,0.9921,0.83105,0.72845,0.33713,0.94725,0.0006536,0.0006536,0.0006536
70,566.067,0.725,0.43268,0.95389,0.98841,0.96728,0.99351,0.83035,0.7209,0.32553,0.94025,0.0006338,0.0006338,0.0006338
71,574.147,0.72013,0.42294,0.953,0.97713,0.97342,0.99331,0.82775,0.73631,0.33428,0.95529,0.000614,0.000614,0.000614
72,582.236,0.71976,0.42422,0.95243,0.98649,0.97092,0.993,0.82987,0.71964,0.32667,0.93673,0.0005942,0.0005942,0.0005942
73,590.403,0.71603,0.42306,0.95139,0.97829,0.97546,0.99344,0.83027,0.69953,0.31946,0.92832,0.0005744,0.0005744,0.0005744
74,598.478,0.70489,0.41949,0.94612,0.98339,0.96843,0.99356,0.82823,0.72655,0.32749,0.94795,0.0005546,0.0005546,0.0005546
75,606.643,0.7161,0.41678,0.94813,0.98657,0.9763,0.99397,0.8305,0.70988,0.3159,0.93361,0.0005348,0.0005348,0.0005348
76,614.693,0.7272,0.41974,0.95349,0.98793,0.97035,0.99365,0.83687,0.68471,0.31611,0.92602,0.000515,0.000515,0.000515
77,622.822,0.70235,0.40868,0.94551,0.98398,0.97239,0.99349,0.83618,0.70448,0.31859,0.93932,0.0004952,0.0004952,0.0004952
78,630.751,0.71462,0.42089,0.95518,0.98974,0.96421,0.99312,0.82392,0.7231,0.32425,0.93842,0.0004754,0.0004754,0.0004754
79,638.809,0.69702,0.4086,0.94778,0.98447,0.97219,0.99351,0.83381,0.71389,0.31367,0.9369,0.0004556,0.0004556,0.0004556
80,646.86,0.70057,0.40067,0.94294,0.9858,0.96728,0.99324,0.83504,0.69731,0.31513,0.925,0.0004358,0.0004358,0.0004358
81,654.992,0.70157,0.40418,0.94927,0.99058,0.96774,0.99391,0.83617,0.70631,0.3175,0.9381,0.000416,0.000416,0.000416
82,662.94,0.69809,0.40405,0.95109,0.98837,0.97035,0.99379,0.83169,0.71208,0.31164,0.93641,0.0003962,0.0003962,0.0003962
83,670.999,0.69,0.39737,0.93731,0.99087,0.96626,0.99373,0.83174,0.70925,0.31116,0.93403,0.0003764,0.0003764,0.0003764
84,679.045,0.69639,0.40484,0.94215,0.98138,0.97022,0.99351,0.83148,0.71452,0.30995,0.9366,0.0003566,0.0003566,0.0003566
85,687.16,0.69853,0.40161,0.94952,0.98011,0.97648,0.9941,0.83572,0.69366,0.30603,0.92781,0.0003368,0.0003368,0.0003368
86,695.251,0.69537,0.40771,0.95134,0.97939,0.96626,0.99295,0.83173,0.71882,0.32103,0.93983,0.000317,0.000317,0.000317
87,703.35,0.69619,0.40259,0.94586,0.99042,0.96319,0.99357,0.83397,0.70687,0.30465,0.92934,0.0002972,0.0002972,0.0002972
88,711.579,0.67827,0.38978,0.93601,0.99074,0.96626,0.99376,0.83466,0.70058,0.30562,0.93101,0.0002774,0.0002774,0.0002774
89,719.707,0.68043,0.38611,0.93925,0.98551,0.97339,0.99391,0.83796,0.69973,0.30222,0.92822,0.0002576,0.0002576,0.0002576
90,727.804,0.68375,0.38578,0.94285,0.99469,0.96421,0.99403,0.83619,0.70746,0.30391,0.934,0.0002378,0.0002378,0.0002378
91,736.342,0.62351,0.32058,0.908,0.98297,0.97648,0.99384,0.82974,0.70916,0.30396,0.93201,0.000218,0.000218,0.000218
92,744.285,0.62792,0.3148,0.90806,0.97204,0.98364,0.99384,0.84008,0.69701,0.30166,0.92957,0.0001982,0.0001982,0.0001982
93,752.307,0.62446,0.31731,0.90378,0.97361,0.97853,0.99348,0.83417,0.70468,0.30358,0.93389,0.0001784,0.0001784,0.0001784
94,760.184,0.61822,0.3081,0.90692,0.97075,0.98417,0.99355,0.83555,0.71162,0.30007,0.93493,0.0001586,0.0001586,0.0001586
95,768.114,0.61198,0.30567,0.90872,0.9775,0.97546,0.99343,0.83244,0.71834,0.30121,0.9386,0.0001388,0.0001388,0.0001388
96,776.192,0.60836,0.30315,0.90214,0.98048,0.97591,0.99332,0.8353,0.7107,0.30209,0.93914,0.000119,0.000119,0.000119
97,784.038,0.60091,0.29756,0.9027,0.97898,0.98262,0.99383,0.83852,0.69735,0.29357,0.92798,9.92e-05,9.92e-05,9.92e-05
98,791.975,0.61227,0.29835,0.90633,0.97552,0.9778,0.99319,0.8373,0.70128,0.29487,0.93023,7.94e-05,7.94e-05,7.94e-05
99,799.786,0.6063,0.30035,0.89655,0.97758,0.98062,0.9936,0.83339,0.7138,0.29545,0.93475,5.96e-05,5.96e-05,5.96e-05
100,807.725,0.59451,0.2928,0.89692,0.97757,0.98029,0.99356,0.83973,0.6968,0.29054,0.92787,3.98e-05,3.98e-05,3.98e-05
