epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,341.692,0.80122,0.50766,0.99492,0.9752,0.96479,0.99142,0.81062,0.75946,0.40097,0.96112,0.0011882,0.0011882,0.0011882
43,349.348,0.79451,0.50533,0.98219,0.98638,0.9628,0.99176,0.81102,0.74865,0.37479,0.96367,0.0011684,0.0011684,0.0011684
44,357.101,0.79651,0.49634,0.99071,0.98416,0.95306,0.99196,0.81634,0.75687,0.3819,0.9699,0.0011486,0.0011486,0.0011486
45,365.244,0.79281,0.51057,0.98596,0.97894,0.95067,0.98942,0.8108,0.75749,0.38923,0.96616,0.0011288,0.0011288,0.0011288
46,372.995,0.78908,0.50213,0.99033,0.96451,0.9591,0.98985,0.80726,0.76173,0.39526,0.97266,0.001109,0.001109,0.001109
47,381.045,0.79703,0.50376,0.98342,0.96964,0.96217,0.99124,0.81596,0.74505,0.38326,0.95781,0.0010892,0.0010892,0.0010892
48,390.891,0.77673,0.47989,0.98243,0.98647,0.96893,0.99276,0.81643,0.73809,0.36374,0.95891,0.0010694,0.0010694,0.0010694
49,404.067,0.78573,0.48295,0.98641,0.9619,0.95706,0.98934,0.80222,0.80571,0.40656,0.99317,0.0010496,0.0010496,0.0010496
50,418.885,0.76922,0.48471,0.97717,0.97277,0.96115,0.99128,0.81441,0.753,0.39012,0.97033,0.0010298,0.0010298,0.0010298
51,427.487,0.76913,0.48099,0.97437,0.95799,0.95501,0.98859,0.81512,0.72899,0.39578,0.95122,0.00101,0.00101,0.00101
52,436.475,0.76036,0.48824,0.97435,0.97361,0.98084,0.99304,0.81209,0.78439,0.37169,0.98538,0.0009902,0.0009902,0.0009902
53,444.531,0.77859,0.4783,0.98589,0.98615,0.96319,0.99198,0.82448,0.72443,0.36354,0.95397,0.0009704,0.0009704,0.0009704
54,452.946,0.7689,0.48263,0.97227,0.9781,0.95884,0.99157,0.81076,0.77554,0.38742,0.9757,0.0009506,0.0009506,0.0009506
55,460.817,0.7509,0.47077,0.96406,0.97454,0.97865,0.99272,0.82013,0.74034,0.35575,0.94534,0.0009308,0.0009308,0.0009308
56,469.41,0.76866,0.47865,0.97726,0.97533,0.97021,0.99249,0.81893,0.75398,0.36035,0.96123,0.000911,0.000911,0.000911
57,478.072,0.74052,0.45049,0.96282,0.97842,0.97357,0.99329,0.82971,0.729,0.35064,0.94908,0.0008912,0.0008912,0.0008912
58,488.113,0.75345,0.46348,0.96974,0.97611,0.95706,0.99191,0.81908,0.73685,0.36042,0.96054,0.0008714,0.0008714,0.0008714
59,497.513,0.76266,0.47279,0.97688,0.97021,0.96524,0.99133,0.82377,0.71473,0.36255,0.93944,0.0008516,0.0008516,0.0008516
60,506.351,0.75082,0.46478,0.97365,0.95912,0.9835,0.99301,0.82375,0.72826,0.35475,0.94613,0.0008318,0.0008318,0.0008318
61,516.072,0.754,0.4695,0.97323,0.96913,0.97444,0.99258,0.82528,0.72203,0.35155,0.94329,0.000812,0.000812,0.000812
62,524.459,0.73415,0.44373,0.95886,0.98348,0.97407,0.99361,0.82774,0.72955,0.34117,0.94799,0.0007922,0.0007922,0.0007922
63,532.834,0.73434,0.44262,0.96125,0.97825,0.96593,0.9905,0.80031,0.79548,0.37943,0.996,0.0007724,0.0007724,0.0007724
64,542.008,0.74335,0.44696,0.96241,0.98183,0.98057,0.99374,0.82649,0.71279,0.33098,0.93875,0.0007526,0.0007526,0.0007526
65,550.535,0.73594,0.44199,0.95916,0.9845,0.97425,0.99367,0.81885,0.74819,0.3396,0.95087,0.0007328,0.0007328,0.0007328
66,559.255,0.73061,0.44143,0.95467,0.97146,0.98364,0.99283,0.82275,0.73492,0.34498,0.95027,0.000713,0.000713,0.000713
67,566.968,0.73708,0.44905,0.96844,0.95884,0.98671,0.99289,0.82648,0.73694,0.34908,0.95134,0.0006932,0.0006932,0.0006932
68,574.7,0.72919,0.44757,0.95986,0.98647,0.96901,0.99365,0.83798,0.70312,0.33152,0.92978,0.0006734,0.0006734,0.0006734
69,583.039,0.71607,0.43327,0.96439,0.97338,0.97216,0.99274,0.82107,0.76261,0.35606,0.97209,0.0006536,0.0006536,0.0006536
70,590.76,0.72975,0.43241,0.95955,0.98853,0.96907,0.99374,0.83619,0.70244,0.31981,0.93286,0.0006338,0.0006338,0.0006338
71,599.066,0.71757,0.42912,0.94855,0.97353,0.97789,0.99281,0.82604,0.71639,0.32962,0.93653,0.000614,0.000614,0.000614
72,607.494,0.72328,0.43303,0.9571,0.98717,0.96115,0.99266,0.82541,0.7344,0.33888,0.94719,0.0005942,0.0005942,0.0005942
73,615.295,0.71563,0.43032,0.95716,0.97354,0.97799,0.99307,0.8335,0.71275,0.333,0.93728,0.0005744,0.0005744,0.0005744
74,623.768,0.72202,0.43196,0.95833,0.9795,0.97703,0.99375,0.8306,0.71077,0.32421,0.93742,0.0005546,0.0005546,0.0005546
75,632.784,0.71595,0.42867,0.95253,0.97129,0.96861,0.99274,0.82606,0.73456,0.33447,0.95103,0.0005348,0.0005348,0.0005348
76,641.142,0.70962,0.42406,0.95069,0.97872,0.97239,0.99328,0.82019,0.74243,0.33084,0.94902,0.000515,0.000515,0.000515
77,649.34,0.71888,0.42121,0.95365,0.98001,0.97648,0.99376,0.82755,0.75772,0.32327,0.96666,0.0004952,0.0004952,0.0004952
78,658.005,0.71585,0.42112,0.95336,0.97361,0.98095,0.99362,0.83339,0.7211,0.32041,0.94471,0.0004754,0.0004754,0.0004754
79,666.164,0.70877,0.41493,0.95395,0.97504,0.97751,0.99265,0.8275,0.72122,0.33073,0.9504,0.0004556,0.0004556,0.0004556
80,674.31,0.69501,0.40215,0.94505,0.97902,0.97853,0.99366,0.83141,0.70915,0.3167,0.93586,0.0004358,0.0004358,0.0004358
81,682.179,0.70379,0.42389,0.95709,0.97948,0.97594,0.99366,0.8302,0.71847,0.31495,0.94389,0.000416,0.000416,0.000416
82,690.871,0.70132,0.40563,0.95151,0.98909,0.96319,0.99319,0.8301,0.70867,0.32103,0.93315,0.0003962,0.0003962,0.0003962
83,699.558,0.70211,0.4072,0.94478,0.98042,0.97286,0.99379,0.83217,0.73364,0.31708,0.95083,0.0003764,0.0003764,0.0003764
84,712.937,0.68449,0.39128,0.93673,0.98634,0.96626,0.99363,0.83493,0.71252,0.31286,0.93671,0.0003566,0.0003566,0.0003566
85,752.555,0.69741,0.39904,0.94584,0.98951,0.96448,0.99379,0.83462,0.71729,0.31023,0.94176,0.0003368,0.0003368,0.0003368
86,779.48,0.69356,0.40835,0.94425,0.9775,0.9816,0.99389,0.83717,0.69752,0.30813,0.92884,0.000317,0.000317,0.000317
87,791.298,0.68253,0.38804,0.93723,0.98046,0.97496,0.99352,0.83767,0.70994,0.31438,0.93679,0.0002972,0.0002972,0.0002972
