epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
62,1910.52,1.17897,0.8916,0.98704,0.28112,0.003961,0.003961,0.003961
63,1940.9,1.15863,0.89288,0.98718,0.27937,0.003862,0.003862,0.003862
64,1972.62,1.1585,0.89316,0.98704,0.2806,0.003763,0.003763,0.003763
65,2002.4,1.13814,0.89359,0.98704,0.27782,0.003664,0.003664,0.003664
66,2034.55,1.12492,0.89544,0.98704,0.27716,0.003565,0.003565,0.003565
67,2070,1.11508,0.89644,0.98718,0.27568,0.003466,0.003466,0.003466
68,2099.7,1.12046,0.89758,0.98732,0.27467,0.003367,0.003367,0.003367
69,2132.53,1.12079,0.89815,0.98732,0.27342,0.003268,0.003268,0.003268
70,2163.76,1.1429,0.89886,0.98732,0.27284,0.003169,0.003169,0.003169
71,2194.68,1.10473,0.90028,0.98732,0.27226,0.00307,0.00307,0.00307
72,2222.85,1.1161,0.90185,0.98732,0.2713,0.002971,0.002971,0.002971
73,2254.77,1.11529,0.90228,0.98732,0.26987,0.002872,0.002872,0.002872
74,2284.45,1.13878,0.90313,0.98746,0.27018,0.002773,0.002773,0.002773
75,2313.05,1.20835,0.90442,0.98761,0.26888,0.002674,0.002674,0.002674
76,2344.92,1.16984,0.90527,0.98761,0.26783,0.002575,0.002575,0.002575
77,2375.53,1.13738,0.90641,0.98803,0.26739,0.002476,0.002476,0.002476
78,2407.75,1.15053,0.90726,0.98818,0.26685,0.002377,0.002377,0.002377
79,2440.11,1.14753,0.90755,0.98803,0.26467,0.002278,0.002278,0.002278
80,2474.56,1.11858,0.90826,0.98803,0.2642,0.002179,0.002179,0.002179
81,2508.96,1.12534,0.90954,0.98803,0.26313,0.00208,0.00208,0.00208
82,2542.02,1.09018,0.91083,0.98789,0.26161,0.001981,0.001981,0.001981
83,2576.05,1.10151,0.91182,0.98789,0.26043,0.001882,0.001882,0.001882
84,2607.92,1.08879,0.91254,0.98775,0.26002,0.001783,0.001783,0.001783
85,2640.39,1.06127,0.91325,0.98775,0.2595,0.001684,0.001684,0.001684
86,2668.9,1.05539,0.91368,0.98789,0.25844,0.001585,0.001585,0.001585
87,2695.52,1.0347,0.91496,0.98789,0.25732,0.001486,0.001486,0.001486
88,2726.65,1.05657,0.91652,0.98789,0.25667,0.001387,0.001387,0.001387
89,2756.25,1.02398,0.91709,0.98803,0.25673,0.001288,0.001288,0.001288
90,2785.82,1.02888,0.91852,0.98803,0.25475,0.001189,0.001189,0.001189
91,2816.54,1.02083,0.9198,0.98761,0.25402,0.00109,0.00109,0.00109
92,2849.04,1.0063,0.9208,0.98775,0.25274,0.000991,0.000991,0.000991
93,2882.1,1.00601,0.92165,0.98775,0.25168,0.000892,0.000892,0.000892
94,2915.32,1.00842,0.92279,0.98775,0.251,0.000793,0.000793,0.000793
95,2947.3,0.99197,0.92493,0.98775,0.24947,0.000694,0.000694,0.000694
96,2973.64,1.00333,0.92564,0.98775,0.24947,0.000595,0.000595,0.000595
97,3004.01,0.98005,0.92692,0.98775,0.24788,0.000496,0.000496,0.000496
98,3034.88,0.96374,0.92835,0.98789,0.24772,0.000397,0.000397,0.000397
99,3065.31,0.94857,0.92906,0.98789,0.24622,0.000298,0.000298,0.000298
100,3092.37,0.95965,0.93006,0.98803,0.24539,0.000199,0.000199,0.000199
