epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1112.53,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004654,0.004654,0.004654
56,1129.37,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004555,0.004555,0.004555
57,1145.99,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004456,0.004456,0.004456
58,1162.88,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004357,0.004357,0.004357
59,1179.56,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004258,0.004258,0.004258
60,1196.25,nan,nan,nan,0,0,0,0,nan,nan,nan,0.004159,0.004159,0.004159
61,1213.24,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00406,0.00406,0.00406
62,1230.36,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003961,0.003961,0.003961
63,1247.45,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003862,0.003862,0.003862
64,1264.43,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003763,0.003763,0.003763
65,1281.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003664,0.003664,0.003664
66,1298.22,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003565,0.003565,0.003565
67,1314.68,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003466,0.003466,0.003466
68,1331.43,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003367,0.003367,0.003367
69,1348.32,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003268,0.003268,0.003268
70,1364.79,nan,nan,nan,0,0,0,0,nan,nan,nan,0.003169,0.003169,0.003169
71,1381.59,nan,nan,nan,0,0,0,0,nan,nan,nan,0.00307,0.00307,0.00307
72,1398.18,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002971,0.002971,0.002971
73,1414.91,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002872,0.002872,0.002872
74,1431.71,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002773,0.002773,0.002773
75,1448.4,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002674,0.002674,0.002674
76,1466.28,nan,nan,nan,0,0,0,0,nan,nan,nan,0.002575,0.002575,0.002575
