epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,2147.64,0.62706,0.97293,0.98789,0.14286,0.000307,0.000307,0.000307
72,2170.7,0.63351,0.97308,0.98746,0.14248,0.0002971,0.0002971,0.0002971
73,2193.79,0.62509,0.97336,0.98746,0.142,0.0002872,0.0002872,0.0002872
74,2215.65,0.61523,0.9735,0.98746,0.1425,0.0002773,0.0002773,0.0002773
75,2238.13,0.61686,0.97379,0.98761,0.14157,0.0002674,0.0002674,0.0002674
76,2261.19,0.62665,0.97379,0.98775,0.14123,0.0002575,0.0002575,0.0002575
77,2284.44,0.60561,0.97422,0.98775,0.14087,0.0002476,0.0002476,0.0002476
78,2307.34,0.60183,0.9745,0.98789,0.14179,0.0002377,0.0002377,0.0002377
79,2329.84,0.60268,0.9745,0.98789,0.14012,0.0002278,0.0002278,0.0002278
80,2352.85,0.58253,0.9745,0.98789,0.14031,0.0002179,0.0002179,0.0002179
81,2375.58,0.5842,0.97422,0.98789,0.14044,0.000208,0.000208,0.000208
82,2397.84,0.58034,0.97407,0.98789,0.13995,0.0001981,0.0001981,0.0001981
83,2420.16,0.58663,0.97407,0.98789,0.13924,0.0001882,0.0001882,0.0001882
84,2442.53,0.55836,0.97436,0.98803,0.13893,0.0001783,0.0001783,0.0001783
85,2464.89,0.57496,0.97464,0.98803,0.13943,0.0001684,0.0001684,0.0001684
86,2488.1,0.55638,0.97464,0.98789,0.13859,0.0001585,0.0001585,0.0001585
87,2510.57,0.5528,0.97464,0.98789,0.13811,0.0001486,0.0001486,0.0001486
88,2533.29,0.55223,0.97479,0.98789,0.13769,0.0001387,0.0001387,0.0001387
89,2557.78,0.54801,0.97493,0.98789,0.13825,0.0001288,0.0001288,0.0001288
90,2580.18,0.55593,0.97493,0.98803,0.13716,0.0001189,0.0001189,0.0001189
91,2603.65,0.54972,0.97507,0.98789,0.13675,0.000109,0.000109,0.000109
92,2626.47,0.53249,0.97493,0.98803,0.13639,9.91e-05,9.91e-05,9.91e-05
93,2648.78,0.53104,0.97479,0.98818,0.13574,8.92e-05,8.92e-05,8.92e-05
94,2671.43,0.52313,0.97479,0.98818,0.13531,7.93e-05,7.93e-05,7.93e-05
95,2694.08,0.50995,0.97521,0.98832,0.1347,6.94e-05,6.94e-05,6.94e-05
96,2717.3,0.51643,0.97521,0.98832,0.13489,5.95e-05,5.95e-05,5.95e-05
97,2740.01,0.52074,0.97578,0.9886,0.13347,4.96e-05,4.96e-05,4.96e-05
98,2763.19,0.51116,0.97564,0.9886,0.13399,3.97e-05,3.97e-05,3.97e-05
99,2786.17,0.52215,0.97578,0.98846,0.13237,2.98e-05,2.98e-05,2.98e-05
100,2808.77,0.51608,0.97607,0.9886,0.13183,1.99e-05,1.99e-05,1.99e-05
